Link,6b9nqrr,28,0,Jukk the Overseer,7235988,1167489,1071338,0,0,0,0,1567448,956608,0,0,0,0,0,0,2473103,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,28,1,Lojak the Fissure,7372238,1126528,2204763,257791,385613,572461,335616,68810,0,52798,0,2319595,0,0,0,0,48260,0,0,0,0,0,0,0,0
Link,6b9nqrr,28,2,Takedar the Reborn,9862648,1209323,1115398,2237874,746536,293528,1028206,77130,67765,81172,1097517,0,1765592,86868,0,55733,0,0,0,0,0,0,0,0,0
Link,6b9nqrr,28,3,Takedar the Reborn,9340079,0,1142116,2348312,52511,842622,74493,66075,0,39688,1198379,156170,1694816,180259,1486902,0,57672,0,0,0,59,0,0,0,0
RedCrash,q47bdm5,25,0,Jukk the Overseer,5659855,1203769,1545012,0,0,0,0,311471,1569940,0,0,0,0,0,0,1029662,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,25,1,Lojak the Fissure,8113726,2268104,1178839,594866,999681,630968,154666,1193936,0,1092662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedCrash,q47bdm5,25,2,Takedar the Reborn,5875560,1262552,1109821,1162938,0,124401,0,0,0,0,0,0,0,1157710,0,0,1058065,0,0,72,0,0,0,0,0
RedCrash,q47bdm5,25,3,Takedar the Reborn,9338260,1189065,2335228,135045,133377,38196,669796,0,0,1138189,1087069,532367,603384,1475300,0,0,0,0,0,1240,0,0,0,0,0
Xeno,9g94ry,24,0,Jukk the Overseer,4343923,0,0,3441,1911,7647,9559,336104,0,1530053,1260473,0,0,0,0,1023397,171334,0,0,0,0,0,0,0,0
Xeno,9g94ry,24,1,Lojak the Fissure,8964726,2537891,111713,390854,391271,223657,201897,288547,329949,0,1611329,0,0,294141,920793,1661882,0,0,0,0,0,0,0,775,19
Xeno,9g94ry,24,2,Takedar the Reborn,4460505,1344099,1198906,0,918393,116650,492347,151591,0,0,0,126195,0,0,0,0,112320,0,0,0,0,0,0,0,0
Xeno,9g94ry,24,3,Takedar the Reborn,9036564,1264235,1166793,105644,1071347,567282,742476,132505,107964,1314144,143238,2099723,0,0,0,134430,186777,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,0,Jukk the Overseer,7544716,432860,115649,110469,117051,452959,133553,739157,1018777,952608,1130811,0,0,0,0,376103,1964711,0,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,1,Lojak the Fissure,5187720,0,71630,77847,30814,1016164,61359,694870,0,961942,467045,0,0,809135,0,0,995044,0,0,0,0,1864,0,0,0
Sir Tap a Lot,ybd48dk,24,2,Takedar the Reborn,6433267,224814,604108,33788,62925,751529,87682,870065,131962,0,1293680,0,167616,574139,186507,1444329,0,118,0,0,0,0,0,0,0
Sir Tap a Lot,ybd48dk,24,3,Takedar the Reborn,4083314,1189515,260890,27232,47848,786822,54645,1577100,139260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,27,0,Jukk the Overseer,3467708,0,0,0,0,0,0,0,0,1759619,879207,0,0,0,0,0,828880,0,0,0,0,0,0,0,0
SlimShady,rmyygq8,27,1,Lojak the Fissure,6196319,0,1049802,0,0,0,0,0,655353,1589260,1581532,0,0,245916,0,935473,135252,493,0,3234,0,0,0,0,0
SlimShady,rmyygq8,27,2,Takedar the Reborn,6840822,0,0,0,0,0,0,192004,0,4113741,1913938,0,0,0,0,0,619495,0,0,0,0,0,0,0,1644
